車型,品番,品名,產品圖片,客戶,模具廠商,生產機台,CT時間(秒),重量(g),原料,後加工組立,組立時間,重點管制1,重點管制2,重點管制3,歷史異常回溯,歷史異常回溯,出貨容器,收容數,月需求量,成形條件表,作業標準書,檢查手順書
841W,G92D1-VU010,"DUCT, HV BATTERY INTAKE",G92D1-VU010_main.jpg,建上/國瑞,源達,550T (501機),52,93g±6g,FTP20DY-202B,無,無,五處嵌合點需用蠟筆點檢,末端缺料處,需手動定位後啟動自動壓合,,,T62,10,4166,G92D1-VU010_qc1.pdf,G92D1-VU010_qc2.pdf,G92D1-VU010_qc3.pdf
841W,62511-VU010,後右側背板),62511-vu010_main.jpg,建上/國瑞,源達,3200T (321機),80,2430g±50g,FTP20DY-202B,無,,大型件禁止表面發白、皮紋拉傷,,,,,,7,4166,62511-VU010_qc1.pdf,62511-VU010_qc2.pdf,62511-VU010_qc3.pdf
841W,62512-VU010,後左側背板),62512-vu010_main.jpg,建上/國瑞,源達,3200T (321機),80,2480g±50g,FTP20DY-202B,無,,大型件禁止表面發白、皮紋拉傷,,,,,,7,4166,62512-VU010_qc1.pdf,62512-VU010_qc2.pdf,62512-VU010_qc3.pdf
841W,67750-VU010,尾門飾板,67750-vu010_main.jpg,建上/國瑞,博盛頓,2700T (312機),60,2040g±45g,CN-BP7SYTW,有,,確認 4 處熔接點無脫落,,,,,,8,4166,67750-VU010_qc1.pdf,67750-VU010_qc2.pdf,67750-VU010_qc3.pdf
841W,67761-VU010,,67761-VU010_main.jpg,,,,,,,,,,,,,,,,4166,67761-VU010_qc1.pdf,67761-VU010_qc2.pdf,67761-VU010_qc3.pdf
841W,69321-VU010,,69321-VU010_main.jpg,,,,,,,,,,,,,,,,4166,69321-VU010_qc1.pdf,69321-VU010_qc2.pdf,69321-VU010_qc3.pdf
841W,81218-X1C00,,81218-X1C00_main.jpg,,,,,,,,,,,,,,,,4166,81218-X1C00_qc1.pdf,81218-X1C00_qc2.pdf,81218-X1C00_qc3.pdf
841W,55303-VU010,IP下段,55303-VU010_main.jpg,建上/國瑞,巨達,2700T (312機),,1780g±40g,APIP5G-202B,無,,,,,,,,3,4166,55303-VU010_qc1.pdf,55303-VU010_qc2.pdf,55303-VU010_qc3.pdf
841W,55514-VU010,安全氣囊,55514-VU010_main.jpg,建上/國瑞,祐振,450T (502機),,339g±3g,TT935N1J,無,,,,,,,,6,4166,55514-VU010_qc1.pdf,55514-VU010_qc2.pdf,55514-VU010_qc3.pdf
841W,62225-VU010,,62225(6)-VU010_main.jpg,建上/國瑞,和成,550T (501機),,130g±8g,APIP5G-202B,,,,,,,,,,4166,62225(6)-VU010_qc1.pdf,62225(6)-VU010_qc2.pdf,62225(6)-VU010_qc3.pdf
842W,622256-VU011,,62225(6)-VU011_main.jpg,建上/國瑞,和成,550T (502機),,130g±9g,APIP5G-203B,,,,,,,,,,4167,62225(6)-VU010_qc1.pdf,62225(6)-VU010_qc2.pdf,62225(6)-VU010_qc3.pdf
841W,62410-VU010,,62410(20)-VU010_main.jpg,建上/國瑞,祥興,800T (102機),,283g±16g,APIP5G-202B,,,,,,,,,,4166,62410(20)-VU010_qc1.pdf,62410(20)-VU010_qc2.pdf,62410(20)-VU010_qc3.pdf
841W,62420-VU010,,62410(20)-VU010_main.jpg,建上/國瑞,祥興,800T (102機),,283g±16g,APIP5G-202B,,,,,,,,,,4166,62410(20)-VU010_qc1.pdf,62410(20)-VU010_qc2.pdf,62410(20)-VU010_qc3.pdf
841W,624511-VU010,,62451(2)-VU010_main.jpg,建上/國瑞,岡峰,550T (501機),,154g±6g,CN-BP1TW-202B,,,,,,,,,7,4166,62451(2)-VU010_qc1.pdf,62451(2)-VU010_qc2.pdf,62451(2)-VU010_qc3.pdf
841W,624512-VU010,,62451(2)-VU010_main.jpg,建上/國瑞,岡峰,550T (501機),,154g±6g,CN-BP1TW-202B,,,,,,,,,7,4166,62451(2)-VU010_qc1.pdf,62451(2)-VU010_qc2.pdf,62451(2)-VU010_qc3.pdf
841W,67917-VU010,,67917(8)-VU010_main.jpg,建上/國瑞,富項,800T (102機),,655g±10g,FTP20DY-202B,,,,,,,,,,4166,67917(8)-VU010_qc1.pdf,67917(8)-VU010_qc2.pdf,67917(8)-VU010_qc3.pdf
841W,67918-VU010,,67917(8)-VU010_main.jpg,建上/國瑞,富項,800T (102機),,655g±10g,FTP20DY-202B,,,,,,,,,,4166,67917(8)-VU010_qc1.pdf,67917(8)-VU010_qc2.pdf,67917(8)-VU010_qc3.pdf
841W,71139-VU010,,71139-VU010_main.jpg,建上/新三興,嘉泰,600T (機),,548g±10g,FTP20DY-202B,,,,,,,,,6,4166,71139-VU010_qc1.pdf,71139-VU010_qc2.pdf,71139-VU010_qc3.pdf
841W,71149-VU010,,71149-VU010_main.jpg,建上/新三興,嘉泰,600T (機),,626g±15g,FTP20DY-202B,,,,,,,,,6,4166,71149-VU010_qc1.pdf,71149-VU010_qc2.pdf,71149-VU010_qc3.pdf
841W,71861-VU010,仰臥器外蓋,71861(2)-VU010_main.jpg,建上/新三興,源達,800T (102機),,310g±6g,FTP20PDY-202B,,,,,,,,,5,4166,71861(2)-VU010_qc1.pdf,71861(2)-VU010_qc2.pdf,71861(2)-VU010_qc3.pdf
841W,71862-VU010,仰臥器外蓋,71861(2)-VU010_main.jpg,建上/新三興,源達,800T (102機),,345g±6g,FTP20PDY-202B,,,,,,,,,5,4166,71861(2)-VU010_qc1.pdf,71861(2)-VU010_qc2.pdf,71861(2)-VU010_qc3.pdf
841W,76871-VU010,尾翼上蓋,76871-VU010_main.jpg,建上/國瑞,博盛頓,2200T (221機),,1190g±10g,PX18-X02,,,,,,,,,,4166,76871-VU010_qc1.pdf,76871-VU010_qc2.pdf,76871-VU010_qc3.pdf
841W,76876-VU010,尾翼下蓋,76876-VU010_main.jpg,建上/國瑞,博盛頓,1500T (152機),,1310g±10g,TA42C-X01,,,,,,,,,,4166,76876-VU010_qc1.pdf,76876-VU010_qc2.pdf,76876-VU010_qc3.pdf
841W,76911-VU010,,76911(2)-VU010_main.jpg,建上/國瑞,,,,,,,,,,,,,,,4166,76911(2)-VU010_qc1.pdf,76911(2)-VU010_qc2.pdf,76911(2)-VU010_qc3.pdf
841W,76912-VU010,,76911(2)-VU010_main.jpg,建上/國瑞,,,,,,,,,,,,,,,4166,76911(2)-VU010_qc1.pdf,76911(2)-VU010_qc2.pdf,76911(2)-VU010_qc3.pdf
841W,76917-VU010,,76917(8)-VU010_main.jpg,建上/國瑞,,,,,,,,,,,,,,,4166,76917(8)-VU010_qc1.pdf,76917(8)-VU010_qc2.pdf,76917(8)-VU010_qc3.pdf
841W,76918-VU010,,76917(8)-VU010_main.jpg,建上/國瑞,,,,,,,,,,,,,,,4166,76917(8)-VU010_qc1.pdf,76917(8)-VU010_qc2.pdf,76917(8)-VU010_qc3.pdf
841W,79236-VU010,,79236(46)-VU020(010)_main.jpg,建上/新三興,源達,800T (102機),,202g±5g,FTP20DY,,,,,,,,,6,4166,79236(46)-VU020(010)_qc1.pdf,79236(46)-VU020(010)_qc2.pdf,79236(46)-VU020(010)_qc3.pdf
841W,79246-VU010,,79236(46)-VU020(010)_main.jpg,建上/新三興,源達,800T (102機),,202g±5g,FTP20DY,,,,,,,,,6,4166,79236(46)-VU020(010)_qc1.pdf,79236(46)-VU020(010)_qc2.pdf,79236(46)-VU020(010)_qc3.pdf
